"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-02-08 14:13:00",3927695
"2019-02-08 14:14:00",2249050
"2019-02-08 14:15:00",8695467
"2019-02-08 14:16:00",2588664
"2019-02-08 14:17:00",2517729
"2019-02-08 14:18:00",2545228
"2019-02-08 14:19:00",2145265
"2019-02-08 14:20:00",2596952
"2019-02-08 14:21:00",2401643
"2019-02-08 14:22:00",2367498
"2019-02-08 14:23:00",1444469
"2019-02-08 14:24:00",2012529
"2019-02-08 14:25:00",1806882
"2019-02-08 14:26:00",3572141
"2019-02-08 14:27:00",2115948
"2019-02-08 14:28:00",2208145
"2019-02-08 14:29:00",1756096
"2019-02-08 14:30:00",4709996
"2019-02-08 14:31:00",2668320
"2019-02-08 14:32:00",2232974
"2019-02-08 14:33:00",4292077
"2019-02-08 14:34:00",5228643
"2019-02-08 14:35:00",3021943
"2019-02-08 14:36:00",1986400
"2019-02-08 14:37:00",3151281
"2019-02-08 14:38:00",2753577
"2019-02-08 14:39:00",3730711
"2019-02-08 14:40:00",1960376
"2019-02-08 14:41:00",2335952
"2019-02-08 14:42:00",2802260
"2019-02-08 14:43:00",2690682
"2019-02-08 14:44:00",5692360
"2019-02-08 14:45:00",3165942
"2019-02-08 14:46:00",2221070
"2019-02-08 14:47:00",1860178
"2019-02-08 14:48:00",3271054
"2019-02-08 14:49:00",6978172
"2019-02-08 14:50:00",2164191
"2019-02-08 14:51:00",2139009
"2019-02-08 14:52:00",2293086
"2019-02-08 14:53:00",2350184
"2019-02-08 14:54:00",2761456
"2019-02-08 14:55:00",3181337
"2019-02-08 14:56:00",1892860
"2019-02-08 14:57:00",1554112
"2019-02-08 14:58:00",2183677
"2019-02-08 14:59:00",1931166
"2019-02-08 15:00:00",2912536
"2019-02-08 15:01:00",5242329
"2019-02-08 15:02:00",2770543
"2019-02-08 15:03:00",1937198
"2019-02-08 15:04:00",5791421
"2019-02-08 15:05:00",4951458
"2019-02-08 15:06:00",3310685
"2019-02-08 15:07:00",2331149
"2019-02-08 15:08:00",1972198
"2019-02-08 15:09:00",3074794
"2019-02-08 15:10:00",3409675
"2019-02-08 15:11:00",2202988
"2019-02-08 15:12:00",1724593
"2019-02-08 15:13:00",7557299
"2019-02-08 15:14:00",2983194
"2019-02-08 15:15:00",4499471
"2019-02-08 15:16:00",4731982
"2019-02-08 15:17:00",1924896
"2019-02-08 15:18:00",1810210
"2019-02-08 15:19:00",2629350
"2019-02-08 15:20:00",3861531
"2019-02-08 15:21:00",3074030
"2019-02-08 15:22:00",1350629
"2019-02-08 15:23:00",3855481
"2019-02-08 15:24:00",7171401
"2019-02-08 15:25:00",3482758
"2019-02-08 15:26:00",3634089
"2019-02-08 15:27:00",1495867
"2019-02-08 15:28:00",2331388
"2019-02-08 15:29:00",6331167
"2019-02-08 15:30:00",3370913
"2019-02-08 15:31:00",5067056
"2019-02-08 15:32:00",3266972
"2019-02-08 15:33:00",2885184
"2019-02-08 15:34:00",1841065
"2019-02-08 15:35:00",4587942
"2019-02-08 15:36:00",2647599
"2019-02-08 15:37:00",4316057
"2019-02-08 15:38:00",2834587
"2019-02-08 15:39:00",3750072
"2019-02-08 15:40:00",4131335
"2019-02-08 15:41:00",1984631
"2019-02-08 15:42:00",3662219
"2019-02-08 15:43:00",2859292
"2019-02-08 15:44:00",3820877
"2019-02-08 15:45:00",3365001
"2019-02-08 15:46:00",10176644
"2019-02-08 15:47:00",2875774
"2019-02-08 15:48:00",1794531
"2019-02-08 15:49:00",4274079
"2019-02-08 15:50:00",5400704
"2019-02-08 15:51:00",2580740
"2019-02-08 15:52:00",1455442
"2019-02-08 15:53:00",2832895
"2019-02-08 15:54:00",2938298
"2019-02-08 15:55:00",14206846
"2019-02-08 15:56:00",9665862
"2019-02-08 15:57:00",5354151
"2019-02-08 15:58:00",7394036
"2019-02-08 15:59:00",6065157
"2019-02-08 16:00:00",5843573
"2019-02-08 16:01:00",1627594
"2019-02-08 16:02:00",455690
"2019-02-08 16:03:00",1206525
"2019-02-08 16:04:00",542889
"2019-02-08 16:05:00",459674
